id,known_name,full_name,motivation,award_year,category
163,Sir William Ramsay,Sir William Ramsay,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1904,Chemistry
573,Frédéric Mistral,Frédéric Mistral,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",1904,Literature
574,José Echegaray,José Echegaray y Eizaguirre,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",1904,Literature
467,,,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,1904,Peace
8,Lord Rayleigh,Lord Rayleigh (John William Strutt),for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1904,Physics
296,Ivan Pavlov,Ivan Petrovich Pavlov,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1904,Physiology or Medicine
164,Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1905,Chemistry
575,Henryk Sienkiewicz,Henryk Sienkiewicz,because of his outstanding merits as an epic writer,1905,Literature
468,Bertha von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",for her audacity to oppose the horrors of war,1905,Peace
9,Philipp Lenard,Philipp Eduard Anton von Lenard,for his work on cathode rays,1905,Physics
297,Robert Koch,Robert Koch,for his investigations and discoveries in relation to tuberculosis,1905,Physiology or Medicine
165,Henri Moissan,Henri Moissan,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1906,Chemistry
576,Giosuè Carducci,Giosuè Carducci,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1906,Literature
470,Theodore Roosevelt,Theodore Roosevelt Jr.,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",1906,Peace
10,J.J. Thomson,Joseph John Thomson,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1906,Physics
298,Camillo Golgi,Camillo Golgi,in recognition of their work on the structure of the nervous system,1906,Physiology or Medicine
299,Santiago Ramón y Cajal,Santiago Ramón y Cajal,in recognition of their work on the structure of the nervous system,1906,Physiology or Medicine
166,Eduard Buchner,Eduard Buchner,for his biochemical researches and his discovery of cell-free fermentation,1907,Chemistry
577,Rudyard Kipling,Rudyard Kipling,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",1907,Literature
471,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",1907,Peace
472,Louis Renault,Louis Renault,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,1907,Peace
11,Albert A. Michelson,Albert Abraham Michelson,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1907,Physics
300,Alphonse Laveran,Charles Louis Alphonse Laveran,in recognition of his work on the role played by protozoa in causing diseases,1907,Physiology or Medicine
167,Ernest Rutherford,Ernest Rutherford,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",1908,Chemistry
578,Rudolf Eucken,Rudolf Christoph Eucken,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",1908,Literature
473,Klas Pontus Arnoldson,Klas Pontus Arnoldson,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1908,Peace
474,Fredrik Bajer,Fredrik Bajer,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1908,Peace
12,Gabriel Lippmann,Gabriel Lippmann,for his method of reproducing colours photographically based on the phenomenon of interference,1908,Physics
301,Ilya Mechnikov,Ilya Ilyich Mechnikov,in recognition of their work on immunity,1908,Physiology or Medicine
302,Paul Ehrlich,Paul Ehrlich,in recognition of their work on immunity,1908,Physiology or Medicine
168,Wilhelm Ostwald,Wilhelm Ostwald,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,1909,Chemistry
579,Selma Lagerlöf,Selma Ottilia Lovisa Lagerlöf,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",1909,Literature
475,Auguste Beernaert,Auguste Marie François Beernaert,for their prominent position in the international movement for peace and arbitration,1909,Peace
476,Paul Henri d'Estournelles de Constant,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",for their prominent position in the international movement for peace and arbitration,1909,Peace
13,Guglielmo Marconi,Guglielmo Marconi,in recognition of their contributions to the development of wireless telegraphy,1909,Physics
14,Ferdinand Braun,Karl Ferdinand Braun,in recognition of their contributions to the development of wireless telegraphy,1909,Physics
303,Theodor Kocher,Emil Theodor Kocher,"for his work on the physiology, pathology and surgery of the thyroid gland",1909,Physiology or Medicine
169,Otto Wallach,Otto Wallach,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,1910,Chemistry
580,Paul Heyse,Paul Johann Ludwig Heyse,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",1910,Literature
477,,,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",1910,Peace
15,Johannes Diderik van der Waals,Johannes Diderik van der Waals,for his work on the equation of state for gases and liquids,1910,Physics
304,Albrecht Kossel,Albrecht Kossel,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1910,Physiology or Medicine
6,Marie Curie,"Marie Curie, née Skłodowska","in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1911,Chemistry
581,Maurice Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",1911,Literature
478,Tobias Asser,Tobias Michael Carel Asser,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",1911,Peace
479,Alfred Fried,Alfred Hermann Fried,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",1911,Peace
16,Wilhelm Wien,Wilhelm Wien,for his discoveries regarding the laws governing the radiation of heat,1911,Physics
305,Allvar Gullstrand,Allvar Gullstrand,for his work on the dioptrics of the eye,1911,Physiology or Medicine
172,Victor Grignard,Victor Grignard,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",1912,Chemistry
173,Paul Sabatier,Paul Sabatier,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,1912,Chemistry
582,Gerhart Hauptmann,Gerhart Johann Robert Hauptmann,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",1912,Literature
480,Elihu Root,Elihu Root,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,1912,Peace
17,Gustaf Dalén,Nils Gustaf Dalén,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1912,Physics
306,Alexis Carrel,Alexis Carrel,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1912,Physiology or Medicine
174,Alfred Werner,Alfred Werner,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1913,Chemistry
583,Rabindranath Tagore,Rabindranath Tagore,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",1913,Literature
481,Henri La Fontaine,Henri La Fontaine,for his unparalleled contribution to the organization of peaceful internationalism,1913,Peace
18,Heike Kamerlingh Onnes,Heike Kamerlingh Onnes,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",1913,Physics
307,Charles Richet,Charles Robert Richet,in recognition of his work on anaphylaxis,1913,Physiology or Medicine
175,Theodore W. Richards,Theodore William Richards,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,1914,Chemistry
19,Max von Laue,Max von Laue,for his discovery of the diffraction of X-rays by crystals,1914,Physics
308,Robert Bárány,Robert Bárány,for his work on the physiology and pathology of the vestibular apparatus,1914,Physiology or Medicine
176,Richard Willstätter,Richard Martin Willstätter,"for his researches on plant pigments, especially chlorophyll",1915,Chemistry
584,Romain Rolland,Romain Rolland,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,1915,Literature
20,William Bragg,Sir William Henry Bragg,for their services in the analysis of crystal structure by means of X-rays,1915,Physics
21,Lawrence Bragg,William Lawrence Bragg,for their services in the analysis of crystal structure by means of X-rays,1915,Physics
585,Verner von Heidenstam,Carl Gustaf Verner von Heidenstam,in recognition of his significance as the leading representative of a new era in our literature,1916,Literature
586,Karl Gjellerup,Karl Adolph Gjellerup,"for his varied and rich poetry, which is inspired by lofty ideals",1917,Literature
587,Henrik Pontoppidan,Henrik Pontoppidan,for his authentic descriptions of present-day life in Denmark,1917,Literature
482,,,for the efforts to take care of wounded soldiers and prisoners of war and their families,1917,Peace
22,Charles Glover Barkla,Charles Glover Barkla,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,1917,Physics
177,Fritz Haber,Fritz Haber,for the synthesis of ammonia from its elements,1918,Chemistry
23,Max Planck,Max Karl Ernst Ludwig Planck,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,1918,Physics
588,Carl Spitteler,Carl Friedrich Georg Spitteler,"in special appreciation of his epic, <I>Olympian Spring</I>",1919,Literature
483,Woodrow Wilson,Thomas Woodrow Wilson,for his role as founder of the League of Nations,1919,Peace
24,Johannes Stark,Johannes Stark,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,1919,Physics
309,Jules Bordet,Jules Bordet,for his discoveries relating to immunity,1919,Physiology or Medicine
178,Walther Nernst,Walther Hermann Nernst,in recognition of his work in thermochemistry,1920,Chemistry
589,Knut Hamsun,Knut Pedersen Hamsun,"for his monumental work, <I>Growth of the Soil</I>",1920,Literature
484,Léon Bourgeois,Léon Victor Auguste Bourgeois,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,1920,Peace
25,Charles Edouard Guillaume,Charles Edouard Guillaume,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,1920,Physics
310,August Krogh,Schack August Steenberg Krogh,for his discovery of the capillary motor regulating mechanism,1920,Physiology or Medicine
179,Frederick Soddy,Frederick Soddy,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",1921,Chemistry
590,Anatole France,Anatole France,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1921,Literature
485,Hjalmar Branting,Karl Hjalmar Branting,for their lifelong contributions to the cause of peace and organized internationalism,1921,Peace
486,Christian Lange,Christian Lous Lange,for their lifelong contributions to the cause of peace and organized internationalism,1921,Peace
26,Albert Einstein,Albert Einstein,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1921,Physics
180,Francis W. Aston,Francis William Aston,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",1922,Chemistry
592,Jacinto Benavente,Jacinto Benavente,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,1922,Literature
487,Fridtjof Nansen,Fridtjof Nansen,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",1922,Peace
27,Niels Bohr,Niels Henrik David Bohr,for his services in the investigation of the structure of atoms and of the radiation emanating from them,1922,Physics
311,Archibald V. Hill,Archibald Vivian Hill,for his discovery relating to the production of heat in the muscle,1922,Physiology or Medicine
312,Otto Meyerhof,Otto Fritz Meyerhof,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,1922,Physiology or Medicine
181,Fritz Pregl,Fritz Pregl,for his invention of the method of micro-analysis of organic substances,1923,Chemistry
593,William Butler Yeats,William Butler Yeats,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",1923,Literature
28,Robert A. Millikan,Robert Andrews Millikan,for his work on the elementary charge of electricity and on the photoelectric effect,1923,Physics
313,Frederick G. Banting,Frederick Grant Banting,for the discovery of insulin,1923,Physiology or Medicine
314,John Macleod,John James Rickard Macleod,for the discovery of insulin,1923,Physiology or Medicine
594,Władysław Reymont,Władysław Stanisław Reymont,"for his great national epic, <I>The Peasants</I>",1924,Literature
29,Manne Siegbahn,Karl Manne Georg Siegbahn,for his discoveries and research in the field of X-ray spectroscopy,1924,Physics
315,Willem Einthoven,Willem Einthoven,for his discovery of the mechanism of the electrocardiogram,1924,Physiology or Medicine
182,Richard Zsigmondy,Richard Adolf Zsigmondy,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",1925,Chemistry
596,George Bernard Shaw,George Bernard Shaw,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",1925,Literature
488,Sir Austen Chamberlain,Sir Austen Chamberlain,for his crucial role in bringing about the Locarno Treaty,1925,Peace
489,Charles G. Dawes,Charles Gates Dawes,for his crucial role in bringing about the Dawes Plan,1925,Peace
30,James Franck,James Franck,for their discovery of the laws governing the impact of an electron upon an atom,1925,Physics
31,Gustav Hertz,Gustav Ludwig Hertz,for their discovery of the laws governing the impact of an electron upon an atom,1925,Physics
183,The Svedberg,The (Theodor) Svedberg,for his work on disperse systems,1926,Chemistry
597,Grazia Deledda,Grazia Deledda,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,1926,Literature
490,Aristide Briand,Aristide Briand,for their crucial role in bringing about the Locarno Treaty,1926,Peace
491,Gustav Stresemann,Gustav Stresemann,for their crucial role in bringing about the Locarno Treaty,1926,Peace
32,Jean Baptiste Perrin,Jean Baptiste Perrin,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",1926,Physics
316,Johannes Fibiger,Johannes Andreas Grib Fibiger,for his discovery of the Spiroptera carcinoma,1926,Physiology or Medicine
184,Heinrich Wieland,Heinrich Otto Wieland,for his investigations of the constitution of the bile acids and related substances,1927,Chemistry
600,Henri Bergson,Henri Bergson,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,1927,Literature
492,Ferdinand Buisson,Ferdinand Buisson,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,1927,Peace
493,Ludwig Quidde,Ludwig Quidde,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,1927,Peace
33,Arthur H. Compton,Arthur Holly Compton,for his discovery of the effect named after him,1927,Physics
34,C.T.R. Wilson,Charles Thomson Rees Wilson,for his method of making the paths of electrically charged particles visible by condensation of vapour,1927,Physics
317,Julius Wagner-Jauregg,Julius Wagner-Jauregg,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,1927,Physiology or Medicine
185,Adolf Windaus,Adolf Otto Reinhold Windaus,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,1928,Chemistry
601,Sigrid Undset,Sigrid Undset,principally for her powerful descriptions of Northern life during the Middle Ages,1928,Literature
35,Owen Willans Richardson,Owen Willans Richardson,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,1928,Physics
318,Charles Nicolle,Charles Jules Henri Nicolle,for his work on typhus,1928,Physiology or Medicine
186,Arthur Harden,Arthur Harden,for their investigations on the fermentation of sugar and fermentative enzymes,1929,Chemistry
187,Hans von Euler-Chelpin,Hans Karl August Simon von Euler-Chelpin,for their investigations on the fermentation of sugar and fermentative enzymes,1929,Chemistry
602,Thomas Mann,Thomas Mann,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",1929,Literature
494,Frank B. Kellogg,Frank Billings Kellogg,for his crucial role in bringing about the Briand-Kellogg Pact,1929,Peace
36,Louis de Broglie,Prince Louis-Victor Pierre Raymond de Broglie,for his discovery of the wave nature of electrons,1929,Physics
319,Christiaan Eijkman,Christiaan Eijkman,for his discovery of the antineuritic vitamin,1929,Physiology or Medicine
320,Sir Frederick Hopkins,Sir Frederick Gowland Hopkins,for his discovery of the growth-stimulating vitamins,1929,Physiology or Medicine
188,Hans Fischer,Hans Fischer,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,1930,Chemistry
603,Sinclair Lewis,Sinclair Lewis,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",1930,Literature
495,Nathan Söderblom,Lars Olof Jonathan (Nathan) Söderblom,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',1930,Peace
37,Sir Chandrasekhara Venkata Raman,Sir Chandrasekhara Venkata Raman,for his work on the scattering of light and for the discovery of the effect named after him,1930,Physics
321,Karl Landsteiner,Karl Landsteiner,for his discovery of human blood groups,1930,Physiology or Medicine
189,Carl Bosch,Carl Bosch,in recognition of their contributions to the invention and development of chemical high pressure methods,1931,Chemistry
190,Friedrich Bergius,Friedrich Bergius,in recognition of their contributions to the invention and development of chemical high pressure methods,1931,Chemistry
604,Erik Axel Karlfeldt,Erik Axel Karlfeldt,The poetry of Erik Axel Karlfeldt,1931,Literature
496,Jane Addams,Jane Addams,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,1931,Peace
497,Nicholas Murray Butler,Nicholas Murray Butler,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,1931,Peace
322,Otto Warburg,Otto Heinrich Warburg,for his discovery of the nature and mode of action of the respiratory enzyme,1931,Physiology or Medicine
191,Irving Langmuir,Irving Langmuir,for his discoveries and investigations in surface chemistry,1932,Chemistry
605,John Galsworthy,John Galsworthy,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,1932,Literature
38,Werner Heisenberg,Werner Karl Heisenberg,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",1932,Physics
323,Sir Charles Sherrington,Sir Charles Scott Sherrington,for their discoveries regarding the functions of neurons,1932,Physiology or Medicine
324,Edgar Adrian,Edgar Douglas Adrian,for their discoveries regarding the functions of neurons,1932,Physiology or Medicine
606,Ivan Bunin,Ivan Alekseyevich Bunin,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,1933,Literature
498,Sir Norman Angell,Sir Norman Angell (Ralph Lane),for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,1933,Peace
39,Erwin Schrödinger,Erwin Schrödinger,for the discovery of new productive forms of atomic theory,1933,Physics
40,Paul A.M. Dirac,Paul Adrien Maurice Dirac,for the discovery of new productive forms of atomic theory,1933,Physics
325,Thomas H. Morgan,Thomas Hunt Morgan,for his discoveries concerning the role played by the chromosome in heredity,1933,Physiology or Medicine
192,Harold C. Urey,Harold Clayton Urey,for his discovery of heavy hydrogen,1934,Chemistry
607,Luigi Pirandello,Luigi Pirandello,for his bold and ingenious revival of dramatic and scenic art,1934,Literature
499,Arthur Henderson,Arthur Henderson,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,1934,Peace
326,George H. Whipple,George Hoyt Whipple,for their discoveries concerning liver therapy in cases of anaemia,1934,Physiology or Medicine
327,George R. Minot,George Richards Minot,for their discoveries concerning liver therapy in cases of anaemia,1934,Physiology or Medicine
328,William P. Murphy,William Parry Murphy,for their discoveries concerning liver therapy in cases of anaemia,1934,Physiology or Medicine
193,Frédéric Joliot,Frédéric Joliot,in recognition of their synthesis of new radioactive elements,1935,Chemistry
194,Irène Joliot-Curie,Irène Joliot-Curie,in recognition of their synthesis of new radioactive elements,1935,Chemistry
500,Carl von Ossietzky,Carl von Ossietzky,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,1935,Peace
41,James Chadwick,James Chadwick,for the discovery of the neutron,1935,Physics
329,Hans Spemann,Hans Spemann,for his discovery of the organizer effect in embryonic development,1935,Physiology or Medicine
195,Peter Debye,Petrus (Peter) Josephus Wilhelmus Debye,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,1936,Chemistry
608,Eugene O'Neill,Eugene Gladstone O'Neill,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",1936,Literature
501,Carlos Saavedra Lamas,Carlos Saavedra Lamas,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",1936,Peace
42,Victor F. Hess,Victor Franz Hess,for his discovery of cosmic radiation,1936,Physics
43,Carl D. Anderson,Carl David Anderson,for his discovery of the positron,1936,Physics
330,Sir Henry Dale,Sir Henry Hallett Dale,for their discoveries relating to chemical transmission of nerve impulses,1936,Physiology or Medicine
331,Otto Loewi,Otto Loewi,for their discoveries relating to chemical transmission of nerve impulses,1936,Physiology or Medicine
196,Norman Haworth,Walter Norman Haworth,for his investigations on carbohydrates and vitamin C,1937,Chemistry
197,Paul Karrer,Paul Karrer,"for his investigations on carotenoids, flavins and vitamins A and B2",1937,Chemistry
609,Roger Martin du Gard,Roger Martin du Gard,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,1937,Literature
502,"Robert Cecil, Viscount Cecil of Chelwood","Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood","for his tireless effort in support of the League of Nations, disarmament and peace",1937,Peace
44,Clinton Davisson,Clinton Joseph Davisson,for their experimental discovery of the diffraction of electrons by crystals,1937,Physics
45,George Paget Thomson,George Paget Thomson,for their experimental discovery of the diffraction of electrons by crystals,1937,Physics
332,Albert Szent-Györgyi,Albert von Szent-Györgyi Nagyrápolt,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1937,Physiology or Medicine
198,Richard Kuhn,Richard Kuhn,for his work on carotenoids and vitamins,1938,Chemistry
610,Pearl Buck,Pearl Buck,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,1938,Literature
503,,,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,1938,Peace
46,Enrico Fermi,Enrico Fermi,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",1938,Physics
333,Corneille Heymans,Corneille Jean François Heymans,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,1938,Physiology or Medicine
199,Adolf Butenandt,Adolf Friedrich Johann Butenandt,for his work on sex hormones,1939,Chemistry
200,Leopold Ruzicka,Leopold Ruzicka,for his work on polymethylenes and higher terpenes,1939,Chemistry
613,Frans Eemil Sillanpää,Frans Eemil Sillanpää,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,1939,Literature
47,Ernest Lawrence,Ernest Orlando Lawrence,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",1939,Physics
334,Gerhard Domagk,Gerhard Domagk,for the discovery of the antibacterial effects of prontosil,1939,Physiology or Medicine
201,George de Hevesy,George de Hevesy,for his work on the use of isotopes as tracers in the study of chemical processes,1943,Chemistry
48,Otto Stern,Otto Stern,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,1943,Physics
335,Henrik Dam,Henrik Carl Peter Dam,for his discovery of vitamin K,1943,Physiology or Medicine
336,Edward A. Doisy,Edward Adelbert Doisy,for his discovery of the chemical nature of vitamin K,1943,Physiology or Medicine
202,Otto Hahn,Otto Hahn,for his discovery of the fission of heavy nuclei,1944,Chemistry
614,Johannes V. Jensen,Johannes Vilhelm Jensen,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",1944,Literature
482,,,for the great work it has performed during the war on behalf of humanity,1944,Peace
49,Isidor Isaac Rabi,Isidor Isaac Rabi,for his resonance method for recording the magnetic properties of atomic nuclei,1944,Physics
337,Joseph Erlanger,Joseph Erlanger,for their discoveries relating to the highly differentiated functions of single nerve fibres,1944,Physiology or Medicine
338,Herbert S. Gasser,Herbert Spencer Gasser,for their discoveries relating to the highly differentiated functions of single nerve fibres,1944,Physiology or Medicine
203,Artturi Virtanen,Artturi Ilmari Virtanen,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",1945,Chemistry
615,Gabriela Mistral,Gabriela Mistral,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",1945,Literature
